iter	Passed	Remaining
0	2	2253
1	3	1919
2	5	1859
3	7	1814
4	8	1721
5	10	1669
6	11	1675
7	13	1702
8	16	1775
9	18	1787
10	19	1796
11	21	1788
12	23	1769
13	25	1765
14	26	1749
15	28	1738
16	30	1738
17	31	1731
18	33	1734
19	35	1727
20	37	1728
21	38	1731
22	40	1724
23	42	1725
24	44	1722
25	45	1716
26	47	1713
27	49	1705
28	50	1699
29	53	1713
30	54	1709
31	56	1705
32	58	1704
33	60	1722
34	62	1717
35	63	1713
36	65	1710
37	67	1708
38	69	1705
39	70	1701
40	72	1698
41	74	1695
42	76	1697
43	77	1692
44	79	1692
45	81	1690
46	83	1699
47	85	1690
48	87	1691
49	88	1687
50	90	1683
51	92	1684
52	94	1685
53	95	1678
54	97	1677
55	99	1676
56	101	1672
57	102	1670
58	104	1664
59	105	1660
60	107	1657
61	109	1653
62	110	1650
63	112	1648
64	114	1645
65	116	1642
66	117	1641
67	119	1640
68	121	1638
69	123	1635
70	125	1640
71	127	1637
72	128	1634
73	130	1630
74	131	1626
75	133	1623
76	135	1620
77	137	1621
78	139	1622
79	140	1620
80	142	1616
81	144	1615
82	146	1614
83	147	1611
84	149	1611
85	151	1611
86	153	1608
87	155	1614
88	157	1612
89	159	1610
90	161	1609
91	163	1608
92	164	1606
93	166	1605
94	168	1603
95	170	1600
96	171	1600
97	173	1599
98	175	1597
99	177	1597
100	179	1596
101	180	1593
102	183	1594
103	184	1592
104	186	1590
105	188	1587
106	189	1585
107	191	1585
108	193	1582
109	195	1578
110	196	1575
111	198	1572
112	199	1569
113	201	1567
114	203	1565
115	204	1562
116	206	1560
117	208	1558
118	210	1556
119	211	1553
120	213	1551
121	215	1551
122	217	1548
123	218	1545
124	220	1543
125	222	1540
126	223	1538
127	225	1536
128	227	1534
129	229	1532
130	230	1531
131	232	1527
132	234	1526
133	236	1525
134	237	1523
135	239	1520
136	241	1518
137	242	1515
138	244	1514
139	246	1511
140	247	1508
141	249	1506
142	251	1504
143	252	1502
144	254	1500
145	256	1498
146	257	1495
147	259	1495
148	261	1494
149	263	1493
150	265	1494
151	267	1492
152	269	1491
153	271	1489
154	272	1486
155	274	1483
156	276	1482
157	277	1480
158	279	1479
159	281	1476
160	283	1474
161	284	1472
162	286	1470
163	287	1467
164	289	1464
165	291	1462
166	292	1460
167	294	1459
168	296	1458
169	298	1455
170	299	1452
171	301	1451
172	303	1448
173	305	1448
174	306	1446
175	308	1444
176	310	1442
177	311	1439
178	313	1437
179	314	1434
